model,term,coef,OR,OR_lo,OR_hi,p
A_movement,Intercept,1.7368223313864055,5.679267887537158,1.3969296643130324,23.089268244777625,0.015220335475136983
A_movement,C(birth_control)[T.levonorgestrel intra-uterine system],0.2166705421782708,1.241934869572172,0.8631120148704592,1.7870243881273515,0.24319157677768444
A_movement,C(birth_control)[T.non-hormonal],0.33325601573431324,1.395504523855605,0.95037152447751,2.0491279735807613,0.08908164738667487
A_movement,L_iners,1.7697879935986154,5.869608834816859,3.1504958488179633,10.935519209360745,2.4798995900346803e-08
A_movement,host_age,-0.019033408692888956,0.9811465828703849,0.9462347967220922,1.0173464560941967,0.30318198296931975
A_movement,host_bmi,-0.04740522772924343,0.953700853245279,0.8924218124828898,1.0191876809355909,0.16179787916161792
A_movement,"bs(cycle_day, df=3)[0]",-0.34301399642393277,0.7096282792324694,0.14727112487480332,3.419355254565535,0.6689846852855833
A_movement,"bs(cycle_day, df=3)[1]",-0.01723400454052433,0.9829136514641701,0.37632111766840876,2.5672735354860245,0.9719341602422872
A_movement,"bs(cycle_day, df=3)[2]",0.33462328869322483,1.3974138644525462,0.6055109947260575,3.224987697288074,0.43290975275344123
B_direction_CSTIII,Intercept,-0.06875160100763564,0.9335585462815535,0.025171499995867052,34.62374349873572,0.9702513448105912
B_direction_CSTIII,C(birth_control)[T.levonorgestrel intra-uterine system],0.09782544663180974,1.1027702760414204,0.4334809787233632,2.805434013049409,0.837305107779057
B_direction_CSTIII,C(birth_control)[T.non-hormonal],0.286373084639818,1.331589158051855,0.44733971176603404,3.963720723208728,0.6068645600452758
B_direction_CSTIII,L_iners,-0.9099353746054619,0.4025502381610028,0.056747819409994384,2.8555580800861677,0.36267013959609906
B_direction_CSTIII,host_age,-0.02749905941937709,0.9728755976209592,0.8777467401294322,1.0783143760884488,0.6004235236019888
B_direction_CSTIII,host_bmi,0.0032415827293892263,1.003246842340304,0.888105478444352,1.1333160881169564,0.9584355164474944
B_direction_CSTIII,"bs(cycle_day, df=3)[0]",1.0898326000572256,2.9737762209248535,0.09768905789145665,90.52544064826625,0.5317484468373808
B_direction_CSTIII,"bs(cycle_day, df=3)[1]",0.21795192455304116,1.2435272830520503,0.0541390672425248,28.5627400407111,0.8915858589329759
B_direction_CSTIII,"bs(cycle_day, df=3)[2]",-0.02988301693199524,0.9705590658849053,0.13593347067670608,6.929749499383605,0.9762299758370272
