target,features,cv,AUROC,AUPRC,balanced_acc,n
y_transition,cov+cst,LOSO,0.6633961566888397,0.7632074533295544,0.6445537694013304,967
y_transition,cst+taxa,LOSO,0.6516537324464153,0.7571846626153028,0.6449648928307465,967
y_transition,cov+cst+taxa,LOSO,0.6571230598669624,0.7607055205943456,0.633190133037694,967
y_transition,taxa,LOSO,0.6356060606060606,0.7351365318953399,0.6171262934220252,967
y_transition,cov+cst+fullprofile,LOSO,0.5977087952697709,0.713189811364263,0.5735310421286031,967
y_into_IV,cov+cst,LOSO,0.5158159339249988,0.28653107848994497,0.518704150207767,698
y_into_IV,cst+taxa,LOSO,0.4931154773508439,0.26098225336775127,0.5096444877648387,698
y_into_IV,cov+cst+taxa,LOSO,0.4995229056584415,0.273682440318524,0.5220540706920433,698
y_into_IV,taxa,LOSO,0.4855435284461089,0.26457477954378783,0.485569178679526,698
y_into_IV,cov+cst+fullprofile,LOSO,0.5169342841019853,0.3013401844581368,0.5262299286923511,698
