model,contrast,OR,CI_lo,CI_hi,p,n
Instability (move) — crude,III-B vs III-A,0.925911734424052,0.4620968475038142,1.8552659352151926,0.8281436195344725,187
Instability (move) — adjusted,III-B vs III-A,0.7840169297267453,0.36478619712375626,1.6850488065194449,0.5330723276942464,148
Direction (descend) — crude,III-B vs III-A,0.9855734718089201,0.5704066970394961,1.7029166616994151,0.9584638719968502,147
Direction (descend) — adjusted,III-B vs III-A,1.1158820277655443,0.5865027315015969,2.12308081959334,0.7382998151390878,120
