target,dims,cv,top_k,AUROC,AUPRC,balanced_acc,n
y_transition,1,5fold,15,0.6372366962305986,0.7547513875313956,0.6167428861788617,967
y_transition,2,5fold,15,0.6357354028085735,0.7516690698791626,0.6039587952697709,967
y_into_IV,1,5fold,15,0.5081721643666957,0.277817765689868,0.518391217360078,698
y_into_IV,2,5fold,15,0.4938285538398399,0.284941815866111,0.5050582260298568,698
y_transition,1,LOSO,15,0.6422348484848484,0.7587976024219856,0.6053792498152255,967
y_transition,2,LOSO,15,0.6432233924611973,0.7593180985112722,0.617565133037694,967
y_into_IV,1,LOSO,15,0.49118144975119277,0.26838521980486396,0.52037141537988,698
y_into_IV,2,LOSO,15,0.4644026060637152,0.27432085571640763,0.48068537423690555,698
