baseline_CST,outcome,risk_mean,ci_lo,ci_hi
III,STAY,0.15973401365791776,0.10077379956499916,0.2229310122224135
III,ESCAPE,0.584753727065432,0.50920245398773,0.6691190291906236
III,DESCEND,0.25551225927665017,0.18381977791116447,0.33557046979865773
I,STAY,0.49074027593193853,0.43838129090498756,0.5413870246085011
I,ESCAPE,0.0,0.0,0.0
I,DESCEND,0.5092597240680615,0.45861297539149887,0.5616187090950123
