target,encoding,cv,model,AUROC,AUPRC,balanced_acc,n
any_transition,CLR,5fold,enet,0.5959672949002217,0.7183333078543532,0.5656157612712491,967
any_transition,CLR,LOSO,enet,0.6106938285291944,0.7218908432107319,0.5796239837398374,967
any_transition,binary,5fold,enet,0.5902161862527716,0.7170995489394116,0.5652138765705839,967
any_transition,binary,LOSO,enet,0.5976256467110126,0.7126942684469779,0.5853150406504065,967
any_transition,rank,5fold,enet,0.5957871396895786,0.716515968421131,0.5739329268292683,967
any_transition,rank,LOSO,enet,0.6015752032520325,0.7161874449012546,0.5814555617147081,967
onset_IV,CLR,5fold,enet,0.5466782947724824,0.3236418538568182,0.5386395116195557,698
onset_IV,CLR,LOSO,enet,0.5332375724619094,0.30261201888605543,0.5345303442261324,698
onset_IV,binary,5fold,enet,0.5537782793823424,0.3286986759251622,0.5354383624890986,698
onset_IV,binary,LOSO,enet,0.5414046067819217,0.31311715949509,0.5545631765249064,698
onset_IV,rank,5fold,enet,0.5391679064279485,0.32433232513228566,0.5330785410147232,698
onset_IV,rank,LOSO,enet,0.5287846919406967,0.30191990120854967,0.5493818293746473,698
any_transition,—,5fold,baseline_cov+CST,0.664490946045824,0.7621684330925974,0.6370403732446415,967
any_transition,—,LOSO,baseline_cov+CST,0.6633961566888397,0.7632074533295544,0.6445537694013304,967
onset_IV,—,5fold,baseline_cov+CST,0.5430205714872005,0.3057087895469537,0.530816190427333,698
onset_IV,—,LOSO,baseline_cov+CST,0.5158159339249988,0.28653107848994497,0.518704150207767,698
