bin,n,STAY,ESCAPE,DESCEND
0,448,0.4107142857142857,0.23883928571428573,0.35044642857142855
0.01–0.1,118,0.4067796610169492,0.3983050847457627,0.19491525423728814
0.1–0.5,128,0.3125,0.28125,0.40625
>0.5,133,0.17293233082706766,0.5864661654135338,0.24060150375939848
