model,term,OR,CI_lo,CI_hi,p
M1_movement_cycadj,iners,5.869608834816856,3.1504598268901245,10.935644244595426,2.479899590034634e-08
M1_movement_cycadj,age,0.9811465828703849,0.9462341667496467,1.01734713341093,0.3031819829693173
M1_movement_cycadj,bmi,0.953700853245279,0.8924207234229973,1.019188924694725,0.16179787916162502
M2_direction_CSTIII_cycadj,iners,0.4025502381610028,0.05674577644182835,2.8556608862264583,0.36267013959609706
M2_direction_CSTIII_cycadj,age,0.9728755976209593,0.8777450804770937,1.07831641497994,0.6004235236019859
M2_direction_CSTIII_cycadj,bmi,1.0032468423403036,0.8881034890025334,1.1333186268598465,0.9584355164474994
