model,AUROC,AUPRC,balanced_acc,brier,n,pos_rate,target
marginal,0.49308250184774577,0.6319966023542101,0.5,0.23152817841649098,967,0.6359875904860393,any_transition
persistence,,0.6359875904860393,0.5,0.6359875904860393,967,0.6359875904860393,any_transition
cov_curCST,0.664490946045824,0.7621684330925974,0.6370403732446415,0.23054104650556023,967,0.6359875904860393,any_transition
marginal,0.4894269737854614,0.27148626654653135,0.5,0.2000821827080921,698,0.27650429799426934,onset_CST_IV
persistence,,0.27650429799426934,0.5,0.27650429799426934,698,0.27650429799426934,onset_CST_IV
cov_curCST,0.5430205714872005,0.3057087895469537,0.530816190427333,0.2500629342557069,698,0.27650429799426934,onset_CST_IV
